"Carimbo de data/hora","1.1 What areas have you been working on these past 5 years?
Tick all that apply.","1.2. What is your title? 
E.g., Senior Developer, Architect, Principal Software Engineer, Tester, etc.","1.3. Which country are you working from?","1.4. What is your professional experience in Microservices (in years)?","1.5. How many projects that involved the migration of monoliths to microservices have you been involved in?","1.6. What were the domain areas of these projects?","1.7. Roughly how many monthly active users did these systems serve when the process of migrating to microservices was started?","1.8. Roughly how many people were working on these systems when the process of migrating to microservices was started?","2.1.  Where do you look for guidance when migrating a monolith system to microservices?
Tick all that apply","2.2.  How do you often plan the migration of a monolith to microservices in regards to the evolution of the product?
Tick all that apply","2.3. How likely are you to consider these data sources when deciding how to decompose a monolith into different services?  [The output of static analysis tools (e.g., based on source code repository analysis)]","2.3. How likely are you to consider these data sources when deciding how to decompose a monolith into different services?  [The output of dynamic analysis tools (e.g., based on runtime data, such as logs or traces)]","2.3. How likely are you to consider these data sources when deciding how to decompose a monolith into different services?  [Development process data (e.g., from version-control, project management tools)]","2.3. How likely are you to consider these data sources when deciding how to decompose a monolith into different services?  [Software Documentation (e.g., business logic/capabilities/objects, data flow) and related artifacts (e.g., source code, configuration files)]","2.4. Which criteria do you use often for deciding the new service boundaries when decomposing a monolith into different services? 
Tick all that apply","3.1. Thinking of the migration from monolith to microservices projects you have been involved in, have you been assisted by any automated or semi-automated tools?","3.2. If yes, which tools were used and for which purpose?","3.3. Which type of tools did you find the most useful?","3.4. In which of these activities would you most appreciate additional tool support?
Tick at most 5 options.","3.5. What characteristics would you find most important in a tool for refactoring towards a microservice architecture?
Tick at most 8 options.","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Strangler Fig]","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [UI Composition]","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Branch by Abstraction]","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Parallel Run]","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Decorating Collaborator]","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Change Data Capture]","4.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Change code dependency to service call]","4.2.  Which of these techniques do you often use together? Do you use them ""before"", ""after"" or ""as a step of""?","4.3. In your experience, what are the main challenges of applying these techniques?","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Database View]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Database Wrapping Service]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Database-as-a-Service Interface]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Aggregate Exposing the Monolith]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Change Data Ownership]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Synchronize Data in Application]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Tracer Write]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Split Table]","5.1. Tell us to which degree you agree with the following statements in the scope of the techniques presented below:

""In the migration project(s) in which I have been involved the use of this technique was important"" [Move Foreign-Key Relationship to Code]","5.2. Which of these techniques do you often use together? Do you use them ""before"", ""after"" or ""as a step of"" each other?","5.3. In your experience, what are the main challenges of applying these techniques?","6.1. What other techniques or patterns have you used in the migration process that were not mentioned in this survey?","6.2. In your opinion, which are the most important challenges faced in the migration process?
Tick at most 9 options.","7.1. Do you usually evaluate the result of a decomposition? How?","7.2. What quality attributes do you assess when evaluating the decomposition result?
Tick at most 4 options.","7.3. Why?","7.4. What metrics would you use to evaluate these quality attributes? Why?
Example: I use the throughput (e.g., requests per second) to measure the efficiency.","7.5. In which environments do you evaluate a decomposition result?
Tick all that apply","7.6. What kind of inputs do you use to evaluate a decomposition result?
Tick all that apply"
"2022/12/30 9:00:39 da tarde CET","Software Development;Software Architecture;Operations;Coaching;Scientific Research","Principal Engineer","UK","10","5","Finance","10K – 100K","< 10","Scientific articles;Books;Web resources, blogs;Other practitioners' experiences","Rewrite/rebuild the entire system from scratch;Stop product evolution, refactor it to microservices, and then proceed with evolving the product;Continuous refactoring interspersed with product evolution","Unlikely","Neutral","Likely","Likely","Decomposition by subdomain (i.e., so that the decomposition reflects an analysis of the processes and information flows of the business. e.g., using Domain-Driven Design);Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services);Based on coupling and cohesion of the data owned by the monolith (i.e., keep strongly-coupled data entities managed by the same services)","No","","Wikis, Architecture diagrams","Understanding the monolith;Deciding services boundaries","Multiple decompositions alternatives;Provide an explanation of candidate decompositions;Provide a visualization of candidate decompositions;Provide an analysis of the changes of quality attributes and metrics","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Parallel run, branch by abstraction ","Keep the old system running and have a smooth transition to microservices","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Sync data, and tracer write","Wrong microservices boundaries may end up in data split across microservices","","Database migration and data store splitting;Ensuring data consistency;Decoupling services from the monolith;Effort estimation","All use cases should be validated, and tested automatically, perhaps with continuous testing","Performance, Efficiency;Security;Scalability;Availability","We evaluate more QA than these 4, so that we can compare with the Monolith and with the projected growth","Throughput and latency for performance, percentage of errors and no response for availability. Security is measured externally by penetration tests. Scalability is measured by throughput and latency under performance tests.","Development;Staging;Production","Functional tests;Production"
"2023/01/04 2:28:23 da tarde CET","Software Development;Software Architecture;Operations","Senior Software Engineer","Spain","8","5","Media, IT services","> 1M","10 – 50","Internal consulting;Analysis and internal discussions","Develop new features in the new system, refactor old features according to capacity","Likely","Likely","Likely","Likely","Decomposition by business capability (i.e., so that the decomposition reflects the structure of the organization, its teams and business units);Decomposition by subdomain (i.e., so that the decomposition reflects an analysis of the processes and information flows of the business. e.g., using Domain-Driven Design)","Yes","Testing output of the two systems","","Evaluating a decomposition result;Regression testing","Doing the refactoring quickly","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Strangler Fig and Parallel run","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Neutral","Change Data Ownership & Synchronize Data in Application","Migration of data","","Database migration and data store splitting;Dealing with data consistency;Service orchestration","Check before/after metrics, such us: uptime, MTTR, response time, time to market. Some metrics are more difficult to evaluate, some others are easier","Maintainability;Performance, Efficiency;Scalability;Availability","","Depending on what is the product, it could change. For websites I have normally been using response time for performance, % of failed requests for availability, etc","Development;Staging;Production","Functional tests;Simulation;Production"
"2023/01/04 3:04:49 da tarde CET","Software Development;Software Architecture","Staff Engineer","US","10","2","Real Estate;public safety","10K – 100K","50 – 200","Conference presentations;Web resources, blogs;Other practitioners' experiences;Internal consulting","Continuous refactoring interspersed with product evolution","Likely","Likely","Likely","Likely","Decomposition by subdomain (i.e., so that the decomposition reflects an analysis of the processes and information flows of the business. e.g., using Domain-Driven Design);Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services);Based on coupling and cohesion of the data owned by the monolith (i.e., keep strongly-coupled data entities managed by the same services)","No","","","Regression testing;Deployment automation","This process is often very manual I wouldn't find many tools to be useful","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Strongly Disagree","Agree","","Microservices are often not the right solution for many companies and when teams migrate to them they end up making their existing problems worse if done incorrectly (very common).","Neutral","Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","Agree","","Getting the data ownership right. Sharing schemas across services is always dangerous, even in a read only capacity. You don't want someone else's service taking down a database you own.","The practice of going back to a monolith after the split to microservices made things worse :).","Database migration and data store splitting;Continuous deployment/integration;Effort estimation;Expected long-term return on investment (ROI);Team organization;Getting teams to agree on the vision for which services to build and what data they should own.","In my experience on the two full migrations we have done is was not worth the effort.

We evaluate if the ROI was worth it. (Are developers more productive, is it easy to troubleshoot, is it more/less scalable, etc.)","Maintainability;Business-related indicators;Availability;Team Agility","","This is different for every company. Sometimes you split services for scalability, other times you split them to solve organizational challenges.","Production","Functional tests;Production"
"2023/01/04 3:51:21 da tarde CET","Software Development;Software Architecture;Operations;Scientific Research","Staff Engineer","US","10","4","media","> 1M","10 – 50","Conference presentations;Web resources, blogs;Other practitioners' experiences","Continuous refactoring interspersed with product evolution","Neutral","Very unlikely","Unlikely","Unlikely","Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services);Based on coupling and cohesion of the data owned by the monolith (i.e., keep strongly-coupled data entities managed by the same services)","No","","","none","no tools needed","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","The definitions provided don't align with how I know them to be used. ","No challenges","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","","I've never seen any of these used successfully. New services get completely new data sources and data models. ","strangler + new data sources is the only way to fly","none","Performance metrics","Performance, Efficiency;Scalability","We wouldn't need to break it up if it could scale in its existing form.","rps, latency, cpu, memory, instances used, network throughput","Development;Production","Functional tests;Production"
"2023/01/04 5:22:30 da tarde CET","Operations","Head of Platform","United States and Brazil","6","3","Healthcare;Education;Internet Marketing","100K – 1M","< 10","Conference presentations;Web resources, blogs;Other practitioners' experiences","Stop product evolution, refactor the system to microservices, and then proceed with evolving the product;Continuous refactoring interspersed with product evolution","Likely","Very likely","Very likely","Likely","Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services)","No","","","Deciding services boundaries;Regression testing;Deployment automation;Microservice API design","Ease of use;Being actively maintained;Multiple decompositions alternatives;Provide an explanation of candidate decompositions;Provide a visualization of candidate decompositions;Edit/model a candidate decomposition","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","","","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",".",".",".","Database migration and data store splitting;Dealing with data consistency",".","Maintainability;Performance, Efficiency;Scalability;Availability",".",".","Development;Staging;Production","Functional tests;Simulation;Production"
"2023/01/05 2:26:19 da tarde CET","Software Development","Developer","Brazil","1","1","Security","100 – 1K","10 – 50","Scientific articles;Books;External consulting","Rewrite/rebuild the entire system from scratch","Very likely","Very likely","Likely","Very likely","Decomposition by business capability (i.e., so that the decomposition reflects the structure of the organization, its teams and business units);Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services);Based on lexical similarity (e.g., joining in the same service API endpoints with similar names)","Yes","","","Refactoring code;Deployment automation;Microservice API design","Versatility – usable via command line, within IDEs, independently, etc.;Doing the refactoring quickly;Having successful case studies reported;Easy modifications on restrictions without having to start over;Provide an explanation of candidate decompositions;Edit/model a candidate decomposition","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","","","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","","Dealing with data consistency;Service orchestration;Effort estimation;Infrastructure to support microservices;Ensuring reliability;Ensuring scalability;Ensuring security","  ","Maintainability;Reusability;Security;Scalability","","    ","Development","Simulation"
"2023/01/05 3:39:17 da tarde CET","Software Development;Software Architecture;Operations","Senior DevOps Engineer","Portugal","4","3","Automotive;Agriculture","10K – 100K","50 – 200","Web resources, blogs;Other practitioners' experiences;Internal consulting","Continuous refactoring interspersed with product evolution","Very likely","Likely","Very likely","Likely","Decomposition by business capability (i.e., so that the decomposition reflects the structure of the organization, its teams and business units);Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services);Based on coupling and cohesion of the data owned by the monolith (i.e., keep strongly-coupled data entities managed by the same services);Based on lexical similarity (e.g., joining in the same service API endpoints with similar names)","Yes","CI/CD pipelines, SonarQube Analysis, Terraform/Terragrunt","Terraform/Terragrunt","Refactoring code;Regression testing;Microservice API design","Versatility – usable via command line, within IDEs, independently, etc.;Having successful case studies reported;Easy modifications on restrictions without having to start over;Provide comprehensive decomposition guidance","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Parallel Run","Not so much time offered to plan the technique accordingly, Lack of the knowledge of the technical team, different clients asking the same microservice API","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Synchronize Data in Application","What is the best timing to sync the data: usually before coding changes to have a ready-to-go database","All techniques mentioned in this survey","Database migration and data store splitting;Dealing with data consistency;Communication among services;Ensuring code maintainability;Decoupling services from the monolith;Microservices statefulness;Effort estimation;Infrastructure to support microservices;Ensuring reliability","Not so much","Maintainability;Reusability;Scalability;Availability","Because they are important in a decomposition for a successful migration to microservices","Usage of the requests per second and rate of failure on the API, delay/performance","Development;Production","Functional tests"
"2023/01/05 8:01:17 da tarde CET","Software Development;Software Architecture;Coaching","Senior Developer and Mentor","Canada","7","3","Real Estate;media licensing","< 100","< 10","Books;Web resources, blogs;Other practitioners' experiences","Rewrite/rebuild the entire system from scratch;Continuous refactoring interspersed with product evolution","Very unlikely","Very unlikely","Unlikely","Unlikely","Decomposition by subdomain (i.e., so that the decomposition reflects an analysis of the processes and information flows of the business. e.g., using Domain-Driven Design)","No","","","Regression testing","Versatility – usable via command line, within IDEs, independently, etc.;Support for various programming languages;Being actively maintained","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Don't use them","","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","DB as service and Sync Data tend to go hand in hand. FK move used when splitting aggregate roots and view needs composition of all data.","Several: if maintaining parallel development, the DB schema is being modified as you are trying to extract it causing a never-ending cycle of implementation. If the DB was MySQL, then cross DB queries can be extremely difficult to deal with when those DBs are physically separated to different servers. Less of an issue with Postgres and schemas, but a similar situation can arise if there are cross-schema queries.","Event storming the application with key stakeholders to ascertain actual needs or otherwise planning through discussion what needs to be done.","Database migration and data store splitting;Dealing with data consistency;Communication among services;Ensuring security","Does the new service function and work consistently? Can new functionality be added to it without impacting on other services? Is performance at least equal to before. An APM product such as Tideways, NewRelic or Backfire helps track these things.","Maintainability;Performance, Efficiency;Business-related indicators","","Can the split apps respond faster to changing business needs? Can we deploy without downtime?","Development;Staging;Production","Functional tests;Simulation;Production"
"2023/01/06 5:05:52 da tarde CET","Software Development;Software Architecture;Operations;Quality assurance;Product Management;Coaching","DevOps Engineer","Mexico","4","2","Finance;Manufacturing","1K – 10K","10 – 50","Books;Web resources, blogs","Rewrite/rebuild the entire system from scratch;Continuous refactoring interspersed with product evolution","Very likely","Likely","Likely","Neutral","Decomposition by business capability (i.e., so that the decomposition reflects the structure of the organization, its teams and business units);Based on coupling and cohesion of the data owned by the monolith (i.e., keep strongly-coupled data entities managed by the same services)","Yes","Terraform, Ansible, CircleCI, GitHub Actions","IaC and Testing","Understanding the monolith;Deployment automation","Versatility – usable via command line, within IDEs, independently, etc.;Support for various programming languages;Being actively maintained","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Disagree","Agree","Parallel Run","resistance to change, communicate the updates, and support from executive area","Agree","Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Database-as-a-Service Interface","The original data structure and the maturity of the bussines processes to accept changes.","No","Database migration and data store splitting;Communication among services;Microservices statefulness;Ensuring reliability","Metrics, we need to start the monitoring process before start. Data!!","Maintainability;Performance, Efficiency;Security;Team Agility","Knowledge's team is the most important part of the process, knowledge arount the security of the project and the knowledge about the internal behaivor to have a maintainable product.","No","Staging;Production","Simulation;Production"
"2023/01/07 7:04:10 da tarde CET","Software Development","Software Engineer","United Kingdom","2","3","Retail","< 100","10 – 50","Other practitioners' experiences;External consulting;Internal consulting","Continuous refactoring interspersed with product evolution","Very unlikely","Very unlikely","Very unlikely","Likely","Decomposition by business capability (i.e., so that the decomposition reflects the structure of the organization, its teams and business units);Decomposition by subdomain (i.e., so that the decomposition reflects an analysis of the processes and information flows of the business. e.g., using Domain-Driven Design);Based on coupling and cohesion of the business logic of the monolith (i.e., keep strongly-coupled elements of the implementation in the same services);Based on coupling and cohesion of the data owned by the monolith (i.e., keep strongly-coupled data entities managed by the same services)","Yes","Github CoPilot","Github CoPilot","Refactoring code","Ease of use;Versatility – usable via command line, within IDEs, independently, etc.;Being actively maintained;Ability to apply restrictions to the decomposition result;Easy modifications on restrictions without having to start over;Multiple decompositions alternatives;Provide a visualization of candidate decompositions;Edit/model a candidate decomposition","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strangler Fig is the overall approach, replace one part at a time. Then we make a new UI for something that people switch to, then we re-route the backend to our own service that interacts with the legacy in the background, and eventually we become the master of the data by telling legacy what it is now and listening to legacy for updates. Once everyone switches to us as the source, legacy can be turned off.","It takes much longer than it would to start from scratch, and compiling lots of data from different sources.","Agree","Agree","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","","","","Database migration and data store splitting;Dealing with data consistency;Decoupling services from the monolith;Service orchestration;Effort estimation",".","Maintainability;Business-related indicators;Scalability;Team Agility","The monolith is unmaintainable, that's why we're moving away from it and often too slow. I don't see a diff between Scalability and Performance, Efficiency.",".","Development;Staging;Production","Functional tests;Production"
